"STREET","CITY","REGION","ZIP","CC2"
"Avenida das Virgens","Salvador","BA","40484-615","BR"
"2ª Travessa Amado Bahia","Salvador","BA","40490-062","BR"
"","","","","BR"
"","","","","BR"
"Travessa dos Ferroviários","Salvador","BA","40717-440","BR"
"","","","","BR"
"","","","","BR"
"Rua Trinta e Um","Salvador","BA","40731-260","BR"
"","","","","BR"
"","","","","BR"
"","","","","BR"
"","","","","BR"
"","","","","BR"
"1ª Travessa Nova Brasília","Salvador","BA","41100-178","BR"
"Rua 8 de Dezembro","Salvador","BA","41185-515","BR"
"Rua Laura","Salvador","BA","41190-140","BR"
"Rua Gregório Santos","Salvador","BA","41205-034","BR"
"Rua Querubim","Salvador","BA","41205-195","BR"
"Alameda Constelação","Salvador","BA","41205-260","BR"
"Travessa Vila Natal","Salvador","BA","41207-465","BR"
"Rua Luís Freitas","Salvador","BA","41207-490","BR"
"Rua Canal","Salvador","BA","41207-595","BR"
"Rua Paraná","Salvador","BA","41210-010","BR"
"Travessa Alagoas","Salvador","BA","41210-170","BR"
"Travessa 9 de Setembro","Salvador","BA","41211-431","BR"
"Rua da Horta","Salvador","BA","41211-600","BR"
"","","","","BR"
"","","","","BR"
"1ª Travessa São João","Salvador","BA","41214-070","BR"
"2ª Avenida Sérgio Cardoso","Salvador","BA","41214-560","BR"
"Rua Praia da Boa Viagem","Salvador","BA","41214-775","BR"
"Travessa Isaura Santos","Salvador","BA","41227-064","BR"
"Rua Capitolino","Salvador","BA","41227-072","BR"
"Rua São José do Calabetão","Salvador","BA","41227-168","BR"
"Rua da Libéria","Salvador","BA","41230-015","BR"
"Rua São Francisco Xavier","Salvador","BA","41230-140","BR"
"Estrada da Boca do Rio","Salvador","BA","41250-170","BR"
"Travessa Djalma Sanches","Salvador","BA","41250-282","BR"
"Travessa Jurema Santos","Salvador","BA","41250-288","BR"
"Rua Margaridas","Salvador","BA","41270-150","BR"
"Travessa Valdo","Salvador","BA","41270-411","BR"
"Rua Lígia Maria","Salvador","BA","41280-670","BR"
"Rua da Glória","Salvador","BA","41290-855","BR"
"Travessa Esperança","Salvador","BA","41298-370","BR"
"Rua A","Salvador","BA","41299-060","BR"
"4ª Travessa da Matriz","Salvador","BA","41301-528","BR"
"Travessa Augustinho Damasceno","Salvador","BA","41301-690","BR"
"Caminho 10","Salvador","BA","41307-455","BR"
"Travessa Góes Calmon","Salvador","BA","41308-195","BR"
"Caminho 17","Salvador","BA","41320-285","BR"
"Rua Edgar Sanches","Salvador","BA","41321-465","BR"
"","","","","BR"
"Caminho 02-Núcleo C","Salvador","BA","41338-250","BR"
"","","","","BR"
"Caminho 07-Setor 01","Salvador","BA","41340-490","BR"
"Acesso 05","Salvador","BA","41342-545","BR"
"Rua B","Salvador","BA","41342-600","BR"
"Acesso D-Jaguaripe I","Salvador","BA","41342-814","BR"
"Rua Girassol","Salvador","BA","41342-844","BR"
"Rua Manoel Cordeiro","Salvador","BA","41350-470","BR"
"Caminho 22","Salvador","BA","41480-035","BR"
"","","","","BR"
"","","","","BR"
"","","","","BR"
"1ª Travessa Iara","Salvador","BA","41500-707","BR"
"Rua Acácia Amarela","Salvador","BA","41502-310","BR"
"","","","","BR"
"Rua Luís Campo Galvão","Salvador","BA","41510-022","BR"
"2ª Travessa Jatobá","Salvador","BA","41510-199","BR"
"Alameda da Suiça","Salvador","BA","41510-358","BR"
"Travessa Osvaldo Gordilho","Salvador","BA","41510-396","BR"
"Travessa do Guincho","Salvador","BA","41510-745","BR"
"Rua Getúlio Vargas","Salvador","BA","41515-360","BR"
"Alameda Antilhas","Salvador","BA","41600-494","BR"
"Vila Xangô","Salvador","BA","41610-171","BR"
"Travessa Palame","Salvador","BA","41610-210","BR"
"Avenida Vila Vintém","Salvador","BA","41630-176","BR"
"Rua Desembargador Mármore Neto","Salvador","BA","41635-160","BR"
"Rua Marcos Pinheiro","Salvador","BA","41650-472","BR"
"Rua Juruna","Salvador","BA","41680-220","BR"
"Travessa Avaré","Salvador","BA","41770-310","BR"
"","","","","BR"
"Rua Almeida Garret","Salvador","BA","41815-320","BR"
"Rua Bráulio Nascimento","Salvador","BA","41900-060","BR"
"","","","","BR"
"2ª Travessa Cinco de Novembro","Salvador","BA","41905-145","BR"
"1ª Travessa Miguelito","Salvador","BA","41905-240","BR"
"","","","","BR"
"Rua São Lourenço","Salvador","BA","41920-290","BR"
"Rua Tânia Palma","Salvador","BA","41927-621","BR"
"Rua Tupinambás","Salvador","BA","41940-090","BR"
"Rua Santa Ângela","Salvador","BA","41950-490","BR"
"1ª Travessa da Fonte","Salvador","BA","42505-025","BR"
"Rua de Contorno do Centro Administrativo","Camaçari","BA","42800-915","BR"
"","","","","BR"
"Avenida Concêntrica","Camaçari","BA","42809-051","BR"
"Rua Desembargador Teixeira de Freitas","Candeias","BA","43810-235","BR"
"Praça Dom Pedro II","Feira de Santana","BA","44002-328","BR"
"Rua Boa Vista","Feira de Santana","BA","44002-678","BR"
"Via Pedestre 17","Feira de Santana","BA","44009-580","BR"
"Via Pedestre 7","Feira de Santana","BA","44009-660","BR"
"Rua Muritinga","Feira de Santana","BA","44023-722","BR"
"Rua Ana Costa","Feira de Santana","BA","44092-052","BR"
"Rua Ângelo Alves Fernandes","Feira de Santana","BA","44096-012","BR"
"Rua da Igreja","Saubara","BA","44220-972","BR"
"","Irará","BA","44255-000","BR"
"","","","","BR"
"","","","","BR"
"","","","","BR"
"Rua Padre Alfredo Haasler","Várzea Nova","BA","44690-970","BR"
"Rua Ruy Barbosa","Canarana","BA","44890-970","BR"
"Rua Coronel Maneca Santos","Vitória da Conquista","BA","45007-220","BR"
"Avenida José de Alencar","Vitória da Conquista","BA","45008-825","BR"
"Rua E","Vitória da Conquista","BA","45009-408","BR"
"Rua Siqueira Campos","Vitória da Conquista","BA","45020-800","BR"
"Rua F","Vitória da Conquista","BA","45026-395","BR"
"Rua Trinta e Quatro","Vitória da Conquista","BA","45037-770","BR"
"Rua Trinta e Nove","Vitória da Conquista","BA","45037-835","BR"
"Rua Vinte","Vitória da Conquista","BA","45038-305","BR"
"Avenida Minas Gerais","Vitória da Conquista","BA","45051-400","BR"
"Avenida Guanambi","Vitória da Conquista","BA","45051-445","BR"
"Caminho Quinze","Vitória da Conquista","BA","45052-160","BR"
"Rua Gregório Adriano","Montes Claros","MG","39401-542","BR"
"Rua Três","Montes Claros","MG","39402-011","BR"
"Rua Fanor de Carvalho","Montes Claros","MG","39402-236","BR"
"Rua Abelard José Tolentino","Montes Claros","MG","39402-432","BR"
"Rua Gericó","Montes Claros","MG","39402-565","BR"
"Rua Ridufino Rodrigues de Oliveira","Montes Claros","MG","39402-738","BR"
"","","","","BR"
"Rua Quatro","Montes Claros","MG","39402-878","BR"
"Rua Benedito Maciel","Montes Claros","MG","39403-043","BR"
"Rua Cosme Antunes","Montes Claros","MG","39403-249","BR"
"Avenida Dois","Montes Claros","MG","39403-386","BR"
"Rua Lagoa Onega","Montes Claros","MG","39404-267","BR"
"Rua Morro Vermelho","Montes Claros","MG","39404-531","BR"
"","","","","BR"
"","Vargem Grande do Rio Pardo","MG","39535-000","BR"
"Rua São Geraldo","Padre Carvalho","MG","39573-972","BR"
"","Medina","MG","39623-000","BR"
"Avenida Felício Mota","Malacacheta","MG","39691-970","BR"
"Rua Principal","Guanhães","MG","39742-971","BR"
"","Santa Maria do Suaçuí","MG","39780-000","BR"
"Rua da Lagoa","Teófilo Otoni","MG","39800-590","BR"
"Alameda dos Ipês","Teófilo Otoni","MG","39801-444","BR"
"Travessa Alípio Rodrigues","Teófilo Otoni","MG","39802-075","BR"
"Rua Pio XII","Teófilo Otoni","MG","39803-261","BR"
"Rua Doutor Breno Fernandes da Silva","Teófilo Otoni","MG","39803-500","BR"
"Rua Nova Jerusalém","Teófilo Otoni","MG","39803-608","BR"
"","","","","BR"
"Vila Músico","Salvador","BA","40040-495","BR"
"","","","","BR"
"Rua Desembargador Gonçalves","Salvador","BA","40110-020","BR"
"Avenida Cosme","Salvador","BA","40220-350","BR"
"Travessa Tupy","Salvador","BA","40225-510","BR"
"Travessa Verbena","Salvador","BA","40226-283","BR"
"1ª Travessa Nipônica","Salvador","BA","40230-049","BR"
"2ª Travessa Frederico Costa","Salvador","BA","40240-760","BR"
"Ladeira do Sossego","Salvador","BA","40243-510","BR"
"Rua Santo Eleutério","Salvador","BA","40276-090","BR"
"Travessa 25 de Novembro","Salvador","BA","40279-200","BR"
"Travessa São José","Salvador","BA","40286-560","BR"
"6ª Travessa da Amendoeira","Salvador","BA","40290-700","BR"
"Travessa do Candeal","Salvador","BA","40296-290","BR"
"Jardim Esperança","Salvador","BA","40301-156","BR"
"2ª Travessa General Mascarenhas de Moraes","Salvador","BA","40310-035","BR"
"2ª Travessa Benjamin Franklin","Salvador","BA","40313-195","BR"
"Travessa da Jaqueira","Salvador","BA","40313-530","BR"
"Avenida Ubaldo Aurélio Teixeira","Salvador","BA","40313-585","BR"
"Quadra QI 23 Lote 12 Edifício Residencial Plaza","Brasília","DF","71060-638","BR"
"QI 31 Lote 07","Brasília","DF","71065-904","BR"
"Rua 1","Brasília","DF","71070-501","BR"
"Setor Habitacional IAPI Chácara 18","Brasília","DF","71081-255","BR"
"Quadra EPTG QE 4 Bloco B-11","Brasília","DF","71100-176","BR"
"","","","","BR"
"Quadra 6 Conjunto 22","Brasília","DF","71256-415","BR"
"Quadra 3","Brasília","DF","71261-200","BR"
"Trecho Trecho 03 Chácara 120","Brasília","DF","71536-166","BR"
"Quadra 5 Conjunto 4","Brasília","DF","71551-516","BR"
"Quadra 4","Brasília","DF","71555-100","BR"
"Quadra 6 Conjunto D","Brasília","DF","71570-604","BR"
"Quadra 36 Conjunto A","Brasília","DF","71575-105","BR"
"Quadra 37 Conjunto K","Brasília","DF","71575-255","BR"
"Quadra 1 Conjunto 2 Lote 1 Bloco H","Brasília","DF","71587-066","BR"
"Quadra QL 8 Conjunto G","Brasília","DF","71590-801","BR"
"Quadra SHIS QI 15 Chácaras 33 a 40","Brasília","DF","71600-770","BR"
"Quadra SHIS QI 3 Conjunto 9","Brasília","DF","71605-290","BR"
"Quadra SHIS QI 5 Bloco E Gilberto Salomão","Brasília","DF","71615-550","BR"
"Quadra SHIS QL 8 Conjunto 7","Brasília","DF","71620-275","BR"
"Quadra SHIS QI 11 Bloco N","Brasília","DF","71625-630","BR"
"Avenida das Acácias","Sinop","MT","78550-214","BR"
"Rua das Mélias","Sinop","MT","78550-354","BR"
"Avenida dos Ingás","Sinop","MT","78552-000","BR"
"Rua dos Aricuris","Sinop","MT","78552-337","BR"
"Rua das Bracatingas","Sinop","MT","78552-451","BR"
"Avenida União do Norte","Sinop","MT","78554-082","BR"
"Avenida das Figueiras","Sinop","MT","78555-148","BR"
"Avenida dos Flamboyants","Sinop","MT","78556-122","BR"
"Rua das Bergamoteiras","Sinop","MT","78556-620","BR"
"Avenida dos Flamboyants","Sinop","MT","78557-640","BR"
"Rua Projetada 6","Sinop","MT","78559-234","BR"
"Avenida Principal","Sinop","MT","78559-337","BR"
"Rua 6","Sinop","MT","78559-603","BR"
"Avenida Ida Bianchi","Sinop","MT","78559-794","BR"
"Avenida Raimundo de Matos","Rondonópolis","MT","78700-350","BR"
"Rua Rosa Francisca de Brito","Rondonópolis","MT","78700-407","BR"
"Travessa Joaquim Murtinho","Rondonópolis","MT","78700-538","BR"
"Rua Charafeddine","Rondonópolis","MT","78705-450","BR"
"Rua Aurélio Ocampos","Rondonópolis","MT","78705-504","BR"
"Rua São Paulo","Rondonópolis","MT","78705-871","BR"
"Rua Jacutinga","Arapongas","PR","86700-205","BR"
"Rua Garças","Arapongas","PR","86700-285","BR"
"Rua Pica Pau","Arapongas","PR","86701-040","BR"
"Rua Inhambu Chitã","Arapongas","PR","86702-220","BR"
"Rua Uiratatá","Arapongas","PR","86702-390","BR"
"Rua Arara Celeste","Arapongas","PR","86702-471","BR"
"Rua Andorinha Colar Negro","Arapongas","PR","86703-540","BR"
"Rua Tangarazinho","Arapongas","PR","86705-410","BR"
"Rua Cruza Bico","Arapongas","PR","86706-206","BR"
"Rua Anambezinho","Arapongas","PR","86706-380","BR"
"Rua Pavão","Arapongas","PR","86708-544","BR"
"Rua Lourenço Montanucci","Apucarana","PR","86802-085","BR"
"Rua Cinqüentenário da Acia","Apucarana","PR","86802-366","BR"
"Praça Vila Rica","Maringá","PR","87025-390","BR"
"Avenida Pioneira Devige Crepaldi Schiavoni","Maringá","PR","87025-820","BR"
"Rua Colômbia","Maringá","PR","87035-366","BR"
"Rua Barão do Tietê","Maringá","PR","87040-060","BR"
"Rua Rio Capibaribe","Maringá","PR","87043-192","BR"
"Rua Belvedere","Maringá","PR","87045-040","BR"
"Rua Pioneiro Benedito de Oliveira Franco","Maringá","PR","87047-585","BR"
"Rua Henoch Vieira de Quental","Maringá","PR","87047-736","BR"
"Rua Pioneira Maria Batista de Souza Neves","Maringá","PR","87055-460","BR"
"Avenida Tupi","Pato Branco","PR","85501-065","BR"
"Rua Jair Tonial","Pato Branco","PR","85503-246","BR"
"Rua Aimoré","Pato Branco","PR","85504-038","BR"
"Rua Angelo Merlo","Pato Branco","PR","85504-738","BR"
"Rodovia BR-158","Pato Branco","PR","85509-262","BR"
"Rua Tereza Catusso","Pato Branco","PR","85509-567","BR"
"Rua Juriti","Francisco Beltrão","PR","85604-340","BR"
"Rua João C. de Arruda","Francisco Beltrão","PR","85605-190","BR"
"Rua Verônica Opolski","Francisco Beltrão","PR","85606-170","BR"
"Rua Principal","Capanema","PR","85765-970","BR"
"Rua São Paulo","Cascavel","PR","85801-020","BR"
"Rua Barão do Cerro Azul","Cascavel","PR","85802-050","BR"
"Rua Alduíno Machado","Cascavel","PR","85804-670","BR"
"","","","","BR"
"Rua Kamacas","Cascavel","PR","85806-010","BR"
"Rua Rubi","Cascavel","PR","85806-540","BR"
"Rua Joanes Kepler","Cascavel","PR","85814-370","BR"
"Rua Simão Pol","Cascavel","PR","85814-502","BR"
"Rua Laranja","Cascavel","PR","85815-560","BR"
"Rua La Salle","Cascavel","PR","85816-070","BR"
"Rua Pontal do Sul","Cascavel","PR","85817-040","BR"
"Travessa Nicarágua","Cascavel","PR","85817-370","BR"
"Rua Serra Grande","Cascavel","PR","85817-550","BR"
"Quadra SHIS QI 13 Bloco A","Brasília","DF","71635-160","BR"
"Quadra SHIS QL 14 Conjunto 9","Brasília","DF","71640-095","BR"
"Quadra SHIS QL 26 Conjunto 5","Brasília","DF","71665-155","BR"
"Quadra 301 Conjunto 1","Brasília","DF","71692-701","BR"
"Quadra 302 Conjunto 4","Brasília","DF","71692-770","BR"
"","","","","BR"
"Avenida Segunda Avenida Bloco 820","Brasília","DF","71715-020","BR"
"Quadra QR A","Brasília","DF","71727-010","BR"
"Rua 1","Brasília","DF","71730-110","BR"
"Quadra SMPW Quadra 5 Conjunto 13","Brasília","DF","71735-513","BR"
"Quadra 1 Conjunto A","Brasília","DF","71736-101","BR"
"Quadra SMPW Quadra 12 Conjunto 1","Brasília","DF","71740-031","BR"
"Quadra SMPW Quadra 12 Conjunto 1","Brasília","DF","71740-040","BR"
"Núcleo Rural Vargem Bonita Rua 3 Chácara 55","Brasília","DF","71751-550","BR"
"Setor de Chácaras Córrego da Onça Rua A Chácara 14","Brasília","DF","71761-215","BR"
"Quadra QS 14 Área Especial D","Brasília","DF","71825-424","BR"
"Quadra QN 14C Conjunto 8","Brasília","DF","71881-138","BR"
"Quadra QN 15D Conjunto 1","Brasília","DF","71881-341","BR"
"Quadra QN 22 Conjunto 3","Brasília","DF","71881-778","BR"
"Quadra QC 6 Conjunto 21","Brasília","DF","71882-271","BR"
"Avenida Frei Henrique de Coimbra","Rondonópolis","MT","78710-380","BR"
"Rua Divino Pai Eterno","Rondonópolis","MT","78714-118","BR"
"Avenida Irmã Bernada","Rondonópolis","MT","78714-240","BR"
"Rua José Barriga","Rondonópolis","MT","78714-306","BR"
"Rua Stefano Antonio Stratis","Rondonópolis","MT","78715-190","BR"
"Rua Pompilio José Gonçalves","Rondonópolis","MT","78715-326","BR"
"Rua Francisco Lopes dos Santos","Rondonópolis","MT","78715-472","BR"
"Avenida Paraíba","Rondonópolis","MT","78718-010","BR"
"Avenida João XXIII","Rondonópolis","MT","78720-810","BR"
"Rua Projetada 2","Rondonópolis","MT","78721-335","BR"
"Rua José Maria de Souza Franco","Rondonópolis","MT","78725-645","BR"
"Rua Julieta Kara José","Rondonópolis","MT","78736-096","BR"
"Rua Pedro Ferrer","Rondonópolis","MT","78740-028","BR"
"Rua Maria Abadia Cavalcante de Oliveira","Rondonópolis","MT","78745-080","BR"
"Avenida Senador Atílio Fontana","Rondonópolis","MT","78745-800","BR"
"Rua D","Rondonópolis","MT","78745-838","BR"
"Rua Francisco Cândido Xavier","Campo Grande","MS","79002-052","BR"
"Rua Sodré","Campo Grande","MS","79005-160","BR"
"Rua Marfim","Campo Grande","MS","79008-190","BR"
"Travessa Eça de Queiroz","Campo Grande","MS","79008-221","BR"
"Rua Crocoió","Campo Grande","MS","79012-050","BR"
"Rua Pioneiro José Francisco","Maringá","PR","87055-640","BR"
"Rua das Papoulas","Maringá","PR","87060-610","BR"
"Rua Professor José Domingues Valadares","Maringá","PR","87060-669","BR"
"Avenida Joaquim Duarte Moleirinho","Maringá","PR","87060-684","BR"
"Rua Octávio Marchi","Maringá","PR","87060-701","BR"
"Rua Pioneiro João de Deus Prates","Maringá","PR","87062-245","BR"
"Rua Pioneiro Virgílio Acelino Cardoso","Maringá","PR","87080-270","BR"
"Rua Titanita","Maringá","PR","87083-375","BR"
"Rua Ametista","Maringá","PR","87083-531","BR"
"Rua Sebastião Batista Zanin","Maringá","PR","87083-847","BR"
"Rua José Raimundo de Magalhães","Sarandi","PR","87111-070","BR"
"Rua América","Sarandi","PR","87111-440","BR"
"Rua Campo Grande","Sarandi","PR","87112-041","BR"
"Rua José Bonifácio","Sarandi","PR","87114-050","BR"
"Avenida Itororó","Sarandi","PR","87114-270","BR"
"Rua Sebastião Luiz de Oliveira","Sarandi","PR","87114-795","BR"
"Avenida Vale Azul","Sarandi","PR","87115-990","BR"
"Praça Clemente Zobol","Sarandi","PR","87118-539","BR"
"Rua Padre Theobaldo Blume","Cianorte","PR","87200-346","BR"
"Rua Turquia","Cianorte","PR","87202-392","BR"
"Rua Seul","Cianorte","PR","87203-402","BR"
"Quadra 123","Cidade Ocidental","GO","72883-382","BR"
"Quadra 48","Cidade Ocidental","GO","72890-141","BR"
"Condomínio Alphaville Residencial 3 Quadra AM","Cidade Ocidental","GO","72897-332","BR"
"","","","","BR"
"Quadra 128","Santo Antônio do Descoberto","GO","72900-462","BR"
"Quadra 16","Santo Antônio do Descoberto","GO","72902-230","BR"
"Quadra 221","Santo Antônio do Descoberto","GO","72902-464","BR"
"Quadra 247","Santo Antônio do Descoberto","GO","72903-006","BR"
"Quadra 275","Santo Antônio do Descoberto","GO","72903-062","BR"
"Quadra 54 Conjunto A","Águas Lindas de Goiás","GO","72911-226","BR"
"Quadra 35","Águas Lindas de Goiás","GO","72912-421","BR"
"Quadra 23","Águas Lindas de Goiás","GO","72915-286","BR"
"Quadra 55","Águas Lindas de Goiás","GO","72917-260","BR"
"Quadra 24","Águas Lindas de Goiás","GO","72920-070","BR"
"Quadra 32","Águas Lindas de Goiás","GO","72920-100","BR"
"Quadra 59","Águas Lindas de Goiás","GO","72920-376","BR"
"Quadra 125 Conjunto B","Águas Lindas de Goiás","GO","72925-768","BR"
"Quadra 22","Águas Lindas de Goiás","GO","72927-800","BR"
"Quadra 2 Conjunto C-6","Brasília","DF","73015-306","BR"
"Quadra 5 Comércio Local 6","Brasília","DF","73031-615","BR"
"Quadra 14 Área Especial 02","Brasília","DF","73050-003","BR"
"Quadra QC 6 Conjunto 28","Brasília","DF","71882-278","BR"
"Quadra QS 8 Conjunto 6","Brasília","DF","71884-342","BR"
"Quadra QS 14 Conjunto 3","Brasília","DF","71884-516","BR"
"Quadra QS 18 Conjunto 5","Brasília","DF","71884-640","BR"
"Alameda Gravatá Quadra 301 Conjunto 04","Brasília","DF","71901-220","BR"
"Quadra QS 6 Conjunto 220B","Brasília","DF","71965-185","BR"
"Quadra QS 7 Rua 400","Brasília","DF","71968-720","BR"
"Quadra QS 8 Conjunto 610B","Brasília","DF","71973-365","BR"
"Área ADE Conjunto 31","Brasília","DF","71991-720","BR"
"Conjunto SHA Conjunto 1 Chácara 10","Brasília","DF","71993-060","BR"
"","","","","BR"
"","","","","BR"
"Rua Rua 4 Chácara 288","Brasília","DF","72006-296","BR"
"Quadra C 12","Brasília","DF","72010-120","BR"
"Quadra QSA 12","Brasília","DF","72015-120","BR"
"Quadra QSC 23","Brasília","DF","72016-230","BR"
"Quadra QSC 19 Chácara 27 Conjunto E","Brasília","DF","72017-335","BR"
"Quadra QNJ 46","Brasília","DF","72140-460","BR"
"Quadra QNL 17 Conjunto B","Brasília","DF","72151-702","BR"
"Quadra QNL 12 Bloco A","Brasília","DF","72156-211","BR"
"Quadra QNL 18 Conjunto F","Brasília","DF","72160-806","BR"
"Quadra QNM 30 Módulo K","Brasília","DF","72210-311","BR"
"Travessa Carlos Leite","Campo Grande","MS","79013-480","BR"
"Rua Ottawa","Campo Grande","MS","79014-060","BR"
"Rua do Sossego","Campo Grande","MS","79015-460","BR"
"Rua Albertina Pimentel","Campo Grande","MS","79017-061","BR"
"Rua Henrique Barbosa Martins","Campo Grande","MS","79017-070","BR"
"Rua Tuerê","Campo Grande","MS","79018-022","BR"
"Rua São Floriano","Campo Grande","MS","79022-095","BR"
"Rua Antônio Marques Rodrigues","Campo Grande","MS","79033-291","BR"
"Rua Fontanilas","Campo Grande","MS","79034-006","BR"
"Rua Muriqui","Campo Grande","MS","79035-530","BR"
"Rua Marrey Júnior","Campo Grande","MS","79042-150","BR"
"Rua Deodápolis","Campo Grande","MS","79044-847","BR"
"Rua da Sereia","Campo Grande","MS","79044-876","BR"
"Rua Recanto das Águas","Campo Grande","MS","79046-050","BR"
"Rua Hector Carybe","Campo Grande","MS","79051-839","BR"
"Rua Abadia Mafalda Pereira Souza","Campo Grande","MS","79062-320","BR"
"Rua Peruíbe","Campo Grande","MS","79064-376","BR"
"Rua Mocambó","Campo Grande","MS","79065-062","BR"
"Travessa Maria Gonçalves Marques de Oliveira","Campo Grande","MS","79070-025","BR"
"Rua Celso Lacerda Azevedo","Campo Grande","MS","79070-224","BR"
"Rua Orion","Cianorte","PR","87206-112","BR"
"Rua Pampulha","Cianorte","PR","87206-346","BR"
"Avenida Volta Redonda","Cianorte","PR","87207-060","BR"
"Avenida Maranhão","Cianorte","PR","87208-104","BR"
"Rua Porfírio Pizzini","Cianorte","PR","87208-128","BR"
"Rua Maués","Cianorte","PR","87209-112","BR"
"Rua Domingos Nascimbene","Cianorte","PR","87210-332","BR"
"Rua Alecrim","Campo Mourão","PR","87301-501","BR"
"Rua Araruna","Campo Mourão","PR","87302-296","BR"
"Rua Engenheiro Mercer","Campo Mourão","PR","87303-324","BR"
"Rua Segismundo Dlugosz","Campo Mourão","PR","87310-370","BR"
"Rua Victor Dorta de Oliveira","Umuarama","PR","87504-708","BR"
"Rua Antonio Fernandes de Lima","Umuarama","PR","87507-136","BR"
"Rua Maria Sebastiana Floriano","Umuarama","PR","87507-602","BR"
"Rua Geraldo Pavan","Umuarama","PR","87507-614","BR"
"Rua Siegfried Kienen","Umuarama","PR","87509-797","BR"
"Avenida Jaime Canet","Xambrê","PR","87535-970","BR"
"","","","","BR"
"Avenida Luiz Diogo Ferraz","Paranavaí","PR","87703-532","BR"
"Rua Janete Dias dos Santos","Paranavaí","PR","87708-427","BR"
"Rua Tiradentes","Paranavaí","PR","87710-100","BR"
"Rua Francisco Francez","Paranavaí","PR","87711-605","BR"
"Área Especial Área Especial para Indústria 10 Lote 9","Brasília","DF","73050-608","BR"
"Rodovia DF-425","Brasília","DF","73092-911","BR"
"Rodovia BR-020","Brasília","DF","73130-900","BR"
"Condomínio Uberaba Conjunto E","Brasília","DF","73270-435","BR"
"Rodovia DF-205 km 03","Brasília","DF","73307-992","BR"
"Avenida Salvador Coelho","Brasília","DF","73330-042","BR"
"Quadra EQ 6 Área Especial 1","Brasília","DF","73340-531","BR"
"Quadra 6 Conjunto 6L","Brasília","DF","73340-612","BR"
"Quadra 27 Conjunto J","Brasília","DF","73358-750","BR"
"Quadra 4 Conjunto G","Brasília","DF","73360-407","BR"
"Conjunto A","Brasília","DF","73366-773","BR"
"Conjunto Residencial 56","Brasília","DF","73370-056","BR"
"","","","","BR"
"Quadra 13 Módulo 11","Brasília","DF","73401-427","BR"
"Quadra 15 Módulo 8","Brasília","DF","73401-821","BR"
"Quadra 5 MR 9","Planaltina","GO","73750-089","BR"
"Quadra 6 MR 4","Planaltina","GO","73752-093","BR"
"Quadra 7 AE","Planaltina","GO","73752-137","BR"
"Setor de Mansões Quadra 49","Planaltina","GO","73752-162","BR"
"Quadra 9","Planaltina","GO","73752-419","BR"
"Quadra QR 31","Planaltina","GO","73754-031","BR"
"Quadra EQNN 1/3 Bloco C","Brasília","DF","72225-523","BR"
"Quadra QNN 37 Bloco 2","Brasília","DF","72225-588","BR"
"Quadra EQNP 6/10 Módulo D","Brasília","DF","72230-514","BR"
"Quadra EQNP 15/19 Módulo D","Brasília","DF","72241-574","BR"
"Quadra EQNP 15/19 Módulo E","Brasília","DF","72241-575","BR"
"Quadra EQNO 1/3 Bloco B","Brasília","DF","72250-502","BR"
"Quadra QNO 19 Conjunto 17","Brasília","DF","72261-017","BR"
"Quadra CNR 1 Conjunto C","Brasília","DF","72275-156","BR"
"Quadra CNR 1 Conjunto E","Brasília","DF","72275-160","BR"
"Quadra QR 106 Conjunto 8","Brasília","DF","72302-108","BR"
"Quadra QN 122 Conjunto 5","Brasília","DF","72304-105","BR"
"Quadra QR 310 Conjunto 4","Brasília","DF","72306-804","BR"
"Quadra QR 311 Conjunto 2A","Brasília","DF","72307-109","BR"
"Quadra QN 321 Conjunto E","Brasília","DF","72309-205","BR"
"Quadra QN 320 Conjunto 4","Brasília","DF","72310-004","BR"
"Quadra QR 506 Conjunto 2","Brasília","DF","72312-102","BR"
"Quadra QN 508 Conjunto 1","Brasília","DF","72312-201","BR"
"Quadra QR 510 Conjunto 12","Brasília","DF","72312-613","BR"
"Área ADE Conjunto 6","Brasília","DF","72314-706","BR"
"Quadra QR 515 Conjunto 4","Brasília","DF","72315-104","BR"
"Rua Gumercindo Soares da Silva","Campo Grande","MS","79071-076","BR"
"Rua Carurú","Campo Grande","MS","79072-265","BR"
"Rua Felipe Portinho","Campo Grande","MS","79075-171","BR"
"Rua do Minuano","Campo Grande","MS","79080-520","BR"
"Rua Ginez Paulo Correa","Campo Grande","MS","79081-630","BR"
"Rua Maísa Coutinho Anache","Campo Grande","MS","79081-702","BR"
"Rua Jornalista Valdir Lago","Campo Grande","MS","79082-075","BR"
"Rua Poços de Caldas","Campo Grande","MS","79083-490","BR"
"Travessa Ipueiras","Campo Grande","MS","79083-582","BR"
"Avenida Rainha do Mar","Campo Grande","MS","79083-840","BR"
"Travessa Laucídio Pereira de Souza","Campo Grande","MS","79084-355","BR"
"Rua Juruá","Campo Grande","MS","79086-300","BR"
"Rua Sebastião Félix da Fonseca","Campo Grande","MS","79091-246","BR"
"Rua Antonio da Silva Bartuira","Campo Grande","MS","79091-834","BR"
"Rua Internacional","Campo Grande","MS","79093-110","BR"
"Rua Beni","Campo Grande","MS","79093-570","BR"
"Rua Jacamar","Campo Grande","MS","79093-600","BR"
"Avenida Marinha","Campo Grande","MS","79097-210","BR"
"Rua Taquari","Campo Grande","MS","79100-510","BR"
"Travessa Jade","Campo Grande","MS","79102-090","BR"
